N,degree,beta,k,h,success_rate,avg_overhead,min_overhead,q1_overhead,median_overhead,q3_overhead,max_overhead,avg_latency,min_latency,q1_latency,median_latency,q3_latency,max_latency,total_overhead
100000,20,0.1,20,100,0.26,1733.75,91,1872.5,2000.0,2000.0,2000,49.26923076923077,5,22.25,46.0,81.0,94,2000
100000,20,0.1,20,200,0.58,2848.89,178,1793.5,3650.5,4000.0,4000,101.27586206896552,9,49.0,94.5,154.0,197,4000
100000,20,0.1,20,300,0.76,3290.81,115,1388.5,2960.0,5928.5,6000,122.1842105263158,6,49.25,109.0,184.0,300,6000
100000,20,0.1,20,400,0.76,4229.57,120,1462.25,3756.5,7769.5,8000,152.46052631578948,6,65.75,131.0,233.0,397,8000
100000,20,0.1,20,500,0.84,4301.19,180,1642.0,3318.0,6388.5,10000,161.28571428571428,9,65.75,136.5,243.0,479,10000
100000,20,0.1,20,600,0.93,4279.51,222,1446.75,3705.0,6123.75,12000,185.43010752688173,12,69.0,163.0,276.0,574,12000
100000,20,0.1,20,700,0.9,5343.59,22,1878.75,4311.0,7712.25,14000,219.61111111111111,2,86.25,179.5,297.25,683,14000
100000,20,0.1,20,800,0.96,4626.63,122,2104.25,3156.5,5754.5,16000,208.10416666666666,7,99.25,158.0,281.75,781,16000
100000,20,0.1,30,100,0.45,2291.19,92,1412.5,3000.0,3000.0,3000,47.955555555555556,4,20.0,39.0,74.0,99,3000
100000,20,0.1,30,200,0.67,3517.33,44,1030.5,3938.0,6000.0,6000,76.95522388059702,2,27.5,64.0,132.0,196,6000
100000,20,0.1,30,300,0.82,4269.43,34,1590.25,3509.5,7117.0,9000,108.17073170731707,2,38.75,95.5,168.0,295,9000
100000,20,0.1,30,400,0.95,3679.29,37,890.75,2656.5,5215.25,12000,108.56842105263158,2,29.5,81.0,162.5,375,12000
100000,20,0.1,30,500,0.9,5633.57,140,1547.5,3870.0,8591.75,15000,153.56666666666666,5,52.0,107.0,218.0,494,15000
100000,20,0.1,30,600,0.94,5139.89,36,1537.25,3587.0,6751.25,18000,144.43617021276594,2,50.0,110.5,198.0,579,18000
100000,20,0.1,30,700,0.99,5228.16,75,1298.75,4109.5,7069.0,21000,169.44444444444446,3,43.0,132.0,232.0,688,21000
100000,20,0.1,30,800,0.97,5779.1,156,1730.0,3323.0,7406.0,24000,174.36082474226805,6,53.0,108.0,220.0,786,24000
100000,20,0.1,40,100,0.55,2910.17,62,1778.25,3643.5,4000.0,4000,50.945454545454545,2,28.5,48.0,77.0,99,4000
100000,20,0.1,40,200,0.76,4294.43,111,1707.25,4099.5,7823.75,8000,78.55263157894737,3,38.25,64.0,113.25,196,8000
100000,20,0.1,40,300,0.91,4456.32,70,1346.5,3039.5,7301.0,12000,93.20879120879121,2,31.0,73.0,141.0,287,12000
100000,20,0.1,40,400,0.99,5402.28,262,2175.5,4541.0,8545.0,16000,132.8989898989899,7,54.5,111.0,210.0,391,16000
100000,20,0.1,40,500,0.97,5935.25,1,2044.25,4407.5,8231.25,20000,138.05154639175257,1,49.0,109.0,201.0,438,20000
100000,20,0.1,40,600,0.98,5391.26,151,1369.5,3013.0,7292.5,24000,125.78571428571429,4,34.25,75.0,168.75,509,24000
