system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
swarm,50,1,262144,2420.721,754.906815
swarm,50,2,262144,15.568333,89.087525
swarm,50,3,262144,31.733333,105.410169
swarm,50,4,262144,44.912,79.098301
swarm,50,5,262144,73.935,85.762062
swarm,50,6,262144,38.002,91.086019
swarm,50,7,262144,34.688333,107.427014
swarm,50,8,262144,159.840333,91.476935
swarm,50,9,262144,29.004,95.921325
swarm,50,10,262144,42.527,98.85336
swarm,50,11,262144,33.557,82.289143
swarm,50,12,262144,84.572333,105.740068
swarm,50,13,262144,39.699333,109.177338
swarm,50,14,262144,80.902,111.115056
swarm,50,15,262144,39.694666,126.188959
swarm,50,16,262144,73.06,93.348397
swarm,50,17,262144,1482.772666,90.282307
swarm,50,18,262144,29.082333,109.597516
swarm,50,19,262144,95.008,71.071471
swarm,50,20,262144,46.698,57.162634
swarm,50,21,262144,44.462333,69.338877
swarm,50,22,262144,157.547333,51.468189
swarm,50,23,262144,58.667666,60.334038
swarm,50,24,262144,82.867666,82.231716
swarm,50,25,262144,131.469666,56.113522
swarm,50,26,262144,106.578,59.609112
swarm,50,27,262144,129.368333,52.799494
swarm,50,28,262144,18.122666,60.500121
swarm,50,29,262144,132.420333,68.825433
swarm,50,30,262144,72.961666,60.613465
swarm,50,31,262144,53.461,57.040508
swarm,50,32,262144,194.300666,62.839118
swarm,50,33,262144,489.931333,126.961797
swarm,50,34,262144,78.252333,135.138348
swarm,50,35,262144,64.641333,115.456731
swarm,50,36,262144,67.464333,99.859398
swarm,50,37,262144,81.269333,100.010395
swarm,50,38,262144,50.339333,73.865265
swarm,50,39,262144,33.381333,94.200824
swarm,50,40,262144,54.838666,99.143894
swarm,50,41,262144,78.768333,112.272767
swarm,50,42,262144,32.368,118.620845
swarm,50,43,262144,60.789333,111.649203
swarm,50,44,262144,128.135666,98.180038
swarm,50,45,262144,47.627666,106.844449
swarm,50,46,262144,38.411,96.498163
swarm,50,47,262144,17.219,112.56116
swarm,50,48,262144,130.033,110.664148
swarm,50,49,262144,349.995,162.168232
swarm,50,50,262144,70.255666,136.475665
swarm,50,51,262144,45.341666,102.879792
swarm,50,52,262144,95.709333,124.988435
swarm,50,53,262144,82.188333,103.315611
swarm,50,54,262144,30.505,112.314128
swarm,50,55,262144,21.246333,111.794753
swarm,50,56,262144,53.946666,111.761934
swarm,50,57,262144,44.659666,98.807358
swarm,50,58,262144,49.006,108.77378
swarm,50,59,262144,61.886333,113.927108
swarm,50,60,262144,96.082,180.861296
swarm,50,61,262144,138.113,107.577729
swarm,50,62,262144,265.334666,120.447547
swarm,50,63,262144,146.153,106.905236
swarm,50,64,262144,249.179333,135.550441
swarm,50,65,262144,177.272333,83.62896
swarm,50,66,262144,26.759333,109.087548
swarm,50,67,262144,46.618,76.501374
swarm,50,68,262144,64.232666,108.008803
swarm,50,69,262144,79.815666,97.716072
swarm,50,70,262144,72.984333,115.470539
swarm,50,71,262144,63.174333,92.770926
swarm,50,72,262144,87.539666,62.994593
swarm,50,73,262144,48.301666,123.36937
swarm,50,74,262144,68.545333,123.286975
swarm,50,75,262144,33.842333,120.475795
swarm,50,76,262144,315.228666,95.494179
swarm,50,77,262144,228.113333,149.378713
swarm,50,78,262144,193.602666,95.763541
swarm,50,79,262144,95.484333,88.593486
swarm,50,80,262144,135.325333,106.432398
swarm,50,81,262144,99.520666,85.76709
swarm,50,82,262144,25.552666,121.320961
swarm,50,83,262144,66.203333,109.133571
swarm,50,84,262144,87.962,109.516011
swarm,50,85,262144,94.582333,116.305679
swarm,50,86,262144,33.527333,124.914022
swarm,50,87,262144,116.582666,102.265856
swarm,50,88,262144,40.985333,95.124287
swarm,50,89,262144,68.144666,101.30677
swarm,50,90,262144,203.088333,147.280414
swarm,50,91,262144,154.943,135.6794
swarm,50,92,262144,275.245333,87.445079
swarm,50,93,262144,234.824333,113.72489
swarm,50,94,262144,161.986333,94.168698
swarm,50,95,262144,16.681333,118.529091
swarm,50,96,262144,61.202666,123.404438
swarm,50,97,262144,72.827666,114.318179
swarm,50,98,262144,60.343,113.685237
swarm,50,99,262144,44.415666,113.069868
swarm,50,100,262144,69.319,118.579156
swarm,50,101,262144,100.102333,99.598142
swarm,50,102,262144,60.596,101.782551
swarm,50,103,262144,53.311333,122.334434
swarm,50,104,262144,51.944333,105.518017
swarm,50,105,262144,174.125,109.176122
swarm,50,106,262144,268.342666,111.695919
swarm,50,107,262144,187.747666,108.38897
swarm,50,108,262144,449.095333,118.970721
swarm,50,109,262144,55.267333,130.798434
swarm,50,110,262144,53.544333,104.981556
swarm,50,111,262144,55.912333,104.557483
swarm,50,112,262144,42.812666,105.090679
swarm,50,113,262144,117.973333,99.002836
swarm,50,114,262144,70.199,90.901317
swarm,50,115,262144,72.926333,118.626532
swarm,50,116,262144,44.057666,123.354724
swarm,50,117,262144,63.097,97.302567
swarm,50,118,262144,61.968666,92.435656
swarm,50,119,262144,23.383,97.689307
swarm,50,120,262144,41.930333,111.245533
swarm,50,121,262144,103.787333,247.898235
swarm,50,122,262144,298.643,186.175766
swarm,50,123,262144,85.183333,121.988008
swarm,50,124,262144,36.781333,113.270181
swarm,50,125,262144,112.363666,118.413384
swarm,50,126,262144,15.114666,136.293826
swarm,50,127,262144,64.555,104.738213
swarm,50,128,262144,33.808666,105.758187
swarm,50,129,262144,203.967666,110.077934
swarm,50,130,262144,13.293666,108.632998
swarm,50,131,262144,81.036,113.400538
swarm,50,132,262144,49.115,98.347983
swarm,50,133,262144,33.119666,105.54231
swarm,50,134,262144,41.713333,115.165341
swarm,50,135,262144,185.432333,162.275435
