system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
our+AF8-system,50,1,262144,77.111333,256.759035
our+AF8-system,50,2,262144,63.733333,91.705535
our+AF8-system,50,3,262144,114.861,123.228714
our+AF8-system,50,4,262144,82.288666,84.416962
our+AF8-system,50,5,262144,227.758,109.201366
our+AF8-system,50,6,262144,100.599333,327.08588
our+AF8-system,50,7,262144,122.237333,90.69297
our+AF8-system,50,8,262144,101.672333,176.515212
our+AF8-system,50,9,262144,83.22,85.091567
our+AF8-system,50,10,262144,65.987,102.386222
our+AF8-system,50,11,262144,64.716333,83.559448
our+AF8-system,50,12,262144,97.384333,1767.842583
our+AF8-system,50,13,262144,83.133333,95.648608
our+AF8-system,50,14,262144,75.091,75.836745
our+AF8-system,50,15,262144,67.43,105.497831
our+AF8-system,50,16,262144,73.512666,90.719403
our+AF8-system,50,17,262144,83.452333,88.291782
our+AF8-system,50,18,262144,75.288,76.779909
our+AF8-system,50,19,262144,65.884333,104.814688
our+AF8-system,50,20,262144,76.702666,113.173301
our+AF8-system,50,21,262144,65.902,95.504008
our+AF8-system,50,22,262144,75.614,91.243297
our+AF8-system,50,23,262144,82.206,55.830825
our+AF8-system,50,24,262144,79.683666,89.757026
our+AF8-system,50,25,262144,74.317666,96.918818
our+AF8-system,50,26,262144,63.690666,93.224603
our+AF8-system,50,27,262144,75.006,73.418846
our+AF8-system,50,28,262144,87.305,102.48597
our+AF8-system,50,29,262144,85.902,112.075944
our+AF8-system,50,30,262144,72.952666,85.825347
our+AF8-system,50,31,262144,75.013,96.623853
our+AF8-system,50,32,262144,72.280333,116.170674
our+AF8-system,50,33,262144,117.489,93.52183
our+AF8-system,50,34,262144,76.431333,116.552513
our+AF8-system,50,35,262144,62.841666,977.720318
our+AF8-system,50,36,262144,99.906666,88.759146
our+AF8-system,50,37,262144,130.332333,106.263131
our+AF8-system,50,38,262144,87.582,93.841557
our+AF8-system,50,39,262144,89.271333,74.021318
our+AF8-system,50,40,262144,79.763333,99.592655
our+AF8-system,50,41,262144,138.108333,112.226709
our+AF8-system,50,42,262144,173.040333,107.899396
our+AF8-system,50,43,262144,109.210333,108.099766
our+AF8-system,50,44,262144,82.429666,109.067138
our+AF8-system,50,45,262144,88.238666,87.03644
our+AF8-system,50,46,262144,143.556,110.28987
our+AF8-system,50,47,262144,107.839,95.945026
our+AF8-system,50,48,262144,143.636,117.122707
our+AF8-system,50,49,262144,137.076,106.257088
our+AF8-system,50,50,262144,124.61,103.30501
our+AF8-system,50,51,262144,121.004,104.751448
our+AF8-system,50,52,262144,113.378333,76.146042
our+AF8-system,50,53,262144,112.836,95.271152
our+AF8-system,50,54,262144,122.51,112.279824
our+AF8-system,50,55,262144,126.699333,86.491297
our+AF8-system,50,56,262144,136.245666,87.454933
our+AF8-system,50,57,262144,150.488,95.050741
our+AF8-system,50,58,262144,143.032,79.052475
our+AF8-system,50,59,262144,82.374333,99.380295
our+AF8-system,50,60,262144,62.948,94.300845
our+AF8-system,50,61,262144,88.965,77.320302
our+AF8-system,50,62,262144,154.563333,94.234567
our+AF8-system,50,63,262144,134.258,81.702804
our+AF8-system,50,64,262144,96.280666,95.1058
our+AF8-system,50,65,262144,134.323333,87.663007
our+AF8-system,50,66,262144,94.893333,94.70828
our+AF8-system,50,67,262144,131.689,89.524302
our+AF8-system,50,68,262144,150.601,98.65552
our+AF8-system,50,69,262144,133.767666,94.93117
our+AF8-system,50,70,262144,158.337666,120.801193
our+AF8-system,50,71,262144,163.485,89.446299
our+AF8-system,50,72,262144,218.596,79.784732
our+AF8-system,50,73,262144,133.561333,83.607625
our+AF8-system,50,74,262144,102.489333,1593.565975
our+AF8-system,50,75,262144,86.198,90.142431
